,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
16,2023-11-12,15:30,Bundesliga,Matchweek 11,Sun,Home,W,4.0,0.0,Union Berlin,2.4,0.0,69.0,29387.0,Lukáš Hrádecký,3-4-3,Timo Gerach,Match Report,,18.0,10.0,15.6,1.0,0,0,2024,Bayer Leverkusen
17,2023-11-25,15:30,Bundesliga,Matchweek 12,Sat,Away,W,3.0,0.0,Werder Bremen,1.0,0.2,59.0,42100.0,Lukáš Hrádecký,3-4-3,Martin Petersen,Match Report,,14.0,4.0,16.8,0.0,0,0,2024,Bayer Leverkusen
19,2023-12-03,17:30,Bundesliga,Matchweek 13,Sun,Home,D,1.0,1.0,Dortmund,2.1,0.7,69.0,30210.0,Lukáš Hrádecký,3-4-3,Daniel Siebert,Match Report,,23.0,6.0,20.3,1.0,0,0,2024,Bayer Leverkusen
21,2023-12-10,15:30,Bundesliga,Matchweek 14,Sun,Away,D,1.0,1.0,Stuttgart,1.3,2.6,48.0,54500.0,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Match Report,,18.0,5.0,14.9,0.0,0,0,2024,Bayer Leverkusen
23,2023-12-17,17:30,Bundesliga,Matchweek 15,Sun,Home,W,3.0,0.0,Eint Frankfurt,2.5,0.2,61.0,30210.0,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,14.0,5.0,16.1,1.0,0,0,2024,Bayer Leverkusen
24,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,W,4.0,0.0,Bochum,3.3,0.4,69.0,30210.0,Lukáš Hrádecký,3-4-1-2,Daniel Schlager,Match Report,,15.0,7.0,13.9,0.0,1,1,2024,Bayer Leverkusen
25,2024-01-13,15:30,Bundesliga,Matchweek 17,Sat,Away,W,1.0,0.0,Augsburg,2.0,0.4,76.0,30055.0,Lukáš Hrádecký,3-4-1-2,Sven Jablonski,Match Report,,24.0,6.0,17.9,0.0,0,0,2024,Bayer Leverkusen
26,2024-01-20,18:30,Bundesliga,Matchweek 18,Sat,Away,W,3.0,2.0,RB Leipzig,2.0,1.6,60.0,46529.0,Lukáš Hrádecký,3-4-3,Matthias Jöllenbeck,Match Report,,18.0,5.0,15.8,0.0,0,0,2024,Bayer Leverkusen
27,2024-01-27,18:30,Bundesliga,Matchweek 19,Sat,Home,D,0.0,0.0,Gladbach,2.9,0.3,75.0,30210.0,Robert Andrich,3-4-3,Deniz Aytekin,Match Report,,28.0,9.0,18.8,0.0,0,0,2024,Bayer Leverkusen
28,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,W,2.0,0.0,Darmstadt 98,1.9,0.6,67.0,17810.0,Lukáš Hrádecký,3-4-3,Tobias Reichel,Match Report,,20.0,7.0,18.1,0.0,0,0,2024,Bayer Leverkusen
